Data,Link,Título,Data Detalhada,Conteúdo Detalhado
"24 Nov 2022,The operating area of the species conservation project has been increased by sixfold,Brazil; South America,Environment; Biodiversity; Sustainable Forestry; Endangered Species Protection,Agriculture & Forestry,
                                                    Ministry of Environment, Brazil
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-operating-area-of-the-species-conservation-project-has-been-increased-by-sixfold,The operating area of the species conservation project has been increased by sixfold,"Thursday, 01 December 2022","The Ministry of the Environment's (MMA) National Strategy for the Conservation of Endangered Species (Pro-Species) area of operation has grown by more than six times, from nine million to 62 million hectares by 2022. This expansion was made possible by the completion of 11 Territorial Action Plans for the Conservation of Endangered Species (PAT), which detailed the boundaries of each of the initiative's 24 territories."
"24 Nov 2022,ASIC has updated its guidance on ETP naming conventions,Australia,Fairly Traded,Investment Banking; Investments and Asset Management; Financial Services,
                                                    Australian Securities & Investments Commission
                                                ,",https://www.globaldata.com/esg/regulatorysummary/asic-has-updated-its-guidance-on-etp-naming-conventions,ASIC has updated its guidance on ETP naming conventions,"Thursday, 01 December 2022","Following a public consultation, ASIC has updated its guidance on naming conventions for licenced Australian exchanges that accept exchange traded products (ETPs). ASIC has divided the naming conventions into two levels of labelling, as proposed in Consultation Paper 356 ETP naming conventions: Updates to INFO 230 (CP 356): Secondary labels ('Active' and 'Complex') for products with specific risks or strategies; and primary labels ('ETF' and 'Structured Product') based on product type."
"23 Nov 2022,CVM establishes a new category on Enet for sending the Integrated Report mandated by CVM Resolution 14,Brazil; South America,Sustainable Finance; Governance; Ethics,Government and Non-Profit Organisations; Financial Services,
                                                    Securities Exchange Comission (CVM)
                                                ,",https://www.globaldata.com/esg/regulatorysummary/cvm-establishes-a-new-category-on-enet-for-sending-the-integrated-report-mandated-by-cvm-resolution-14,CVM establishes a new category on Enet for sending the Integrated Report mandated by CVM Resolution 14,"Wednesday, 30 November 2022","The Corporate Relations Superintendence (SEP) of the Brazilian Securities and Exchange Commission (CVM) published Circular Letter CVM/SEP 05/2022 today, 11/23/2022, which provides guidance on sending the Integrated Report through the Empresas system. NET. Companies must now send the document through the new category called Integrated Report, which was created specifically for sending this file, as specified in CVM Resolution 14. Previously, companies disclosed information through other categories, such as the one named ""Sustainability report""."
"22 Nov 2022,Amendment 20 to the Atlantic Surfclam and Ocean Quahog Fishery Management Plan has been completed by NOAA Fisheries,North America; United States,Biodiversity; Environment; Sustainable Fishery; Marine Biodiversity,Agriculture & Forestry,
                                                    National Oceanic and Atmospheric Administration
                                                ,",https://www.globaldata.com/esg/regulatorysummary/amendment-20-to-the-atlantic-surfclam-and-ocean-quahog-fishery-management-plan-has-been-completed-by-noaa-fisheries,Amendment 20 to the Atlantic Surfclam and Ocean Quahog Fishery Management Plan has been completed by NOAA Fisheries,"Tuesday, 29 November 2022","Amendment 20 to the Atlantic Surfclam and Ocean Quahog Fishery Management Plan was implemented by NOAA Fisheries in a final rule (FMP). This amendment limits the number of quota shares or annual cage tags that an individual or business can own or control during the course of a fishing year. Amendment 20 was formally approved on November 10, 2022, and this rule implements all of the amendment's measures."
"22 Nov 2022,Obligation to continuously introduce and update information on average heat generation prices,Europe; Poland,,,
                                                    Ministry of Climate
                                                ,",https://www.globaldata.com/esg/regulatorysummary/obligation-to-continuously-introduce-and-update-information-on-average-heat-generation-prices,Obligation to continuously introduce and update information on average heat generation prices,"Tuesday, 29 November 2022","On November 22, 2022, a section ""heating plants"" was implemented in the IT system: https://cieplo.gov.pl/ for energy companies conducting business activities in the field of heat generation that do not require a licence or are exempt from the obligation to submit tariffs for heat for approval by the President of the Energy Regulatory Office. After registering in the Cieplo.gov.pl system in the ""Heating plants"" section, energy companies receive an account to enter and update information on heat prices or rates."
"21 Nov 2022,The Department of Energy and Infrastructure has announced the approval of a federal law governing the connection of renewable energy production units to the electrical grid,United Arab Emirates,Environment; Renewable Energy; Wind; Solar,Wind; Power Generation,
                                                    Ministry of Energy and Infrastructure, UAE
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-department-of-energy-and-infrastructure-has-announced-the-approval-of-a-federal-law-governing-the-connection-of-renewable-energy-production-units-to-the-electrical-grid,The Department of Energy and Infrastructure has announced the approval of a federal law governing the connection of renewable energy production units to the electrical grid,"Monday, 28 November 2022","The Ministry of Energy and Infrastructure has announced the approval of a federal law governing the connection of distributed renewable energy production units to the electrical grid, with the goal of enabling people to produce electrical energy from renewable energy sources while also meeting the state's objectives. It is a step toward diversifying renewable energy sources within the state and optimising natural resource utilisation in a way that ensures emissions reduction and climate neutrality."
"18 Nov 2022,NOAA Fisheries Releases Final Atlantic Surfclam and Ocean Quahog Specifications for 2023,North America; United States,Marine Biodiversity; Sustainable Fishery; Environment; Biodiversity,Agriculture & Forestry,
                                                    National Oceanic and Atmospheric Administration
                                                ,",https://www.globaldata.com/esg/regulatorysummary/noaa-fisheries-releases-final-atlantic-surfclam-and-ocean-quahog-specifications-for-2023,NOAA Fisheries Releases Final Atlantic Surfclam and Ocean Quahog Specifications for 2023,"Friday, 25 November 2022","NOAA Fisheries has set commercial harvest quotas for Atlantic surfclams and ocean quahogs for 2023. The final quotas, which have not changed since 2004, are as follows: 3.4 million bushels of Atlantic surfclams
5.36 million bushels of ocean quahogs
100,000 Maine bushels of ocean quahogs"
"17 Nov 2022,Beijing Convention 2010 is ratified by the NPC Standing Committee,China; Asia,,Aerospace and Defence; Infrastructure; Logistics & Support; Homeland Security; Aerospace; Transportation; Infrastructure and Logistics,
                                                    Civil Aviation Administration of China
                                                ,",https://www.globaldata.com/esg/regulatorysummary/beijing-convention-2010-is-ratified-by-the-npc-standing-committee,Beijing Convention 2010 is ratified by the NPC Standing Committee,"Thursday, 24 November 2022","At the 37th session of the standing committee of the 13th National People's Congress (NPC), which concluded on October 30 in Beijing, the Convention on the Suppression of Unlawful Acts Relating to International Civil Aviation (Beijing Convention 2010) was examined and ratified. The system of international aviation security conventions has been strengthened thanks to the Beijing Convention 2010, which filled in any gaps and strengthened any weak points in the earlier treaties on aviation security."
"17 Nov 2022,IBR Standards and Registration Proposed by FERC to Boost Grid Reliability,North America; United States,Environment; Renewable Energy; Wind; Solar,Equipment & Services; Wind; Electric/Gas Utilities; Utilities Network; Distribution; Transmission and distribution; Transmission,
                                                    Federal Energy Regulatory Commission
                                                ,",https://www.globaldata.com/esg/regulatorysummary/ibr-standards-and-registration-proposed-by-ferc-to-boost-grid-reliability,IBR Standards and Registration Proposed by FERC to Boost Grid Reliability,"Thursday, 24 November 2022","Three IBR-related orders from FERC are included in today's orders: An order mandating that NERC create a strategy for registering the companies that own and run IBRs (RD22-4);
An order approving the reliability standards that NERC proposed earlier this year and that address data sharing, model validation, planning and operational studies, and performance requirements for IBRs (RM22-12); and  A Notice of Proposed Rulemaking to instruct NERC to create reliability standards for IBRs that address these issues (RD22-5)."
"16 Nov 2022,Japan has issued a new international standard for the Scenario-Based Safety Evaluation Framework for Automated Driving Systems,Japan; Asia,Environment; Carbon Emissions; Climate Change,Automotive Design; Future Mobility; Automotive,
                                                    Ministry of Economy, Trade and Industry, Japan
                                                ,",https://www.globaldata.com/esg/regulatorysummary/japan-has-issued-a-new-international-standard-for-the-scenario-based-safety-evaluation-framework-for-automated-driving-systems,Japan has issued a new international standard for the Scenario-Based Safety Evaluation Framework for Automated Driving Systems,"Wednesday, 23 November 2022","The development of automated vehicles is expected to reduce environmental burdens and traffic accidents, alleviate traffic congestion, and solve a variety of other social issues, as well as increase the automobile industry's international competitiveness.
Japan has issued an international standard for procedures and scenarios used to assess the safety of automated driving systems. This is expected to improve the safety and efficiency of the development of automated driving systems."
"16 Nov 2022,IB 22-59: NMFS Reallocates Pacific Cod from Catcher Vessels in the Gulf of Alaska's Western Regulatory Area,North America; United States,Biodiversity; Environment; Sustainable Fishery; Marine Biodiversity,Agriculture & Forestry,
                                                    National Oceanic and Atmospheric Administration
                                                ,",https://www.globaldata.com/esg/regulatorysummary/ib-22-59-nmfs-reallocates-pacific-cod-from-catcher-vessels-in-the-gulf-of-alaskas-western-regulatory-area,IB 22-59: NMFS Reallocates Pacific Cod from Catcher Vessels in the Gulf of Alaska's Western Regulatory Area,"Wednesday, 23 November 2022","According to Jonathan M. Kurland, Administrator, Alaska Region, NMFS, the National Marine Fisheries Service (NMFS) is reallocating 400 metric tonnes (mt) of Pacific cod from catcher vessels using trawl gear and 150 mt of Pacific cod from vessels using pot gear to the annual amount specified for catcher vessels using hook-and-line gear and catcher/processors using hook-and-line gear in the Western Regulatory Area of the Gulf of Alaska (WGOA)."
"14 Nov 2022,Various multimedia insurance arrangements are prohibited by the new FSMA Regulation,Europe; Belgium,,Insurance; Financial Services,
                                                    Belgian Federal Government
                                                ,",https://www.globaldata.com/esg/regulatorysummary/various-multimedia-insurance-arrangements-are-prohibited-by-the-new-fsma-regulation,Various multimedia insurance arrangements are prohibited by the new FSMA Regulation,"Monday, 21 November 2022","Insurance contracts issued with multimedia devices are prohibited by the Financial Services and Markets Authority (FSMA). On November 13, 2022, the FSMA's regulation addressing this issue became effective."
"11 Nov 2022,Act on Employment Protection,Europe; Sweden,Governance; Human Rights; Social; Fair Employment,Government and Non-Profit Organisations,
                                                    Government of Sweden
                                                ,",https://www.globaldata.com/esg/regulatorysummary/act-on-employment-protection,Act on Employment Protection,"Friday, 18 November 2022",Non-official translation. Amendments: up to and including SFS 2022:836.
"11 Nov 2022,Guidelines for managing central government debt in 2023,Europe; Sweden,Social; Governance,Cards & Payments; Investment Banking; Capital Markets; Investments and Asset Management; Risk management; Financial Services; Wealth Management & Private Banking,
                                                    Ministry of Finance, Sweden
                                                ,",https://www.globaldata.com/esg/regulatorysummary/guidelines-for-managing-central-government-debt-in-2023,Guidelines for managing central government debt in 2023,"Friday, 18 November 2022","Guidelines for the administration of the national debt by the Swedish National Debt Office were adopted by the government. The 2023 guideline decision modifies the national debt composition guiding to gradually reduce foreign currency exposure with a target value of zero starting in 2027. For the years 2023–2026, progress will be measured against a fixed rate of reduction. In addition, there will be no longer be any reporting of private market borrowing results."
"11 Nov 2022,EU pledges to improve carbon reductions through forestry, agriculture, and land use as part of the European Green Deal,Europe,Sustainable Farming; Sustainable Forestry; Carbon Emissions; Climate Change; Environment,Agriculture & Forestry,
                                                    European Commission
                                                ,",https://www.globaldata.com/esg/regulatorysummary/eu-pledges-to-improve-carbon-reductions-through-forestry-agriculture-and-land-use-as-part-of-the-european-green-deal,"EU pledges to improve carbon reductions through forestry, agriculture, and land use as part of the European Green Deal","Friday, 18 November 2022","The EU Commission applauds the provisional agreement reached late night on 10th of November with the European Parliament and Council on the Land Use, Land Use Change, and Forestry (LULUCF) regulation, which raises the EU's target for net carbon removals by natural sinks to 310 million tonnes of CO2 equivalent by 2030. This agreement establishes reasonable and challenging goals for each Member State to achieve in order to halt the decline of the EU's carbon sink."
"10 Nov 2022,The government releases new regulations to support the hydrogen industry,South Korea; Asia,Environment; Hydrogen; Climate Change; Carbon Emissions; Renewable Energy,Power Generation; Energy Infrastructure; Energy Efficiency; Energy Storage,
                                                    Ministry of Trade, Industry and Energy, South Korea
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-government-releases-new-regulations-to-support-the-hydrogen-industry,The government releases new regulations to support the hydrogen industry,"Thursday, 17 November 2022","On November 9 at the Lotte Hotel Seoul, South Korea's Prime Minister Han Duck-soo presided over the fifth meeting of the Hydrogen Economy Commission (hereafter ""Commission"") to announce the new hydrogen economy policy orientations under Korea's new government and to accelerate the industry's growth.
The spectrum of hydrogen policy was first restricted to a few sectors, such as fuel cells and hydrogen cars, which made Korea's hydrogen production, storage, and transportation less competitive than that of other affluent countries."
"9 Nov 2022,IB 22-58: NMFS forbids vessels taking part in the Bering Sea and Aleutian Islands from conducting directed fishing for atka mackerel,North America; United States,Biodiversity; Environment; Marine Biodiversity,Agriculture & Forestry,
                                                    National Oceanic and Atmospheric Administration
                                                ,",https://www.globaldata.com/esg/regulatorysummary/ib-22-58-nmfs-forbids-vessels-taking-part-in-the-bering-sea-and-aleutian-islands-from-conducting-directed-fishing-for-atka-mackerel,IB 22-58: NMFS forbids vessels taking part in the Bering Sea and Aleutian Islands from conducting directed fishing for atka mackerel,"Wednesday, 16 November 2022","According to Jonathan M. Kurland, Administrator, Alaska Region, National Marine Fisheries Service (NMFS), the ban on directed fishing for Atka mackerel in the Central Aleutian district of the Bering Sea and Aleutian Islands management area (BSAI) will take effect at noon, Alaska local time, on November 10, 2022. This directive is issued in accordance with 50 CFR 679.20(d)(1) and is necessary to prohibit vessels participating in the BSAI trawl restricted access sector fishery from exceeding the total authorised catch of atka mackerel in the Central Aleutian region for 2022. (iii)."
"9 Nov 2022,ICMA publishes new climate resilient debt clauses to aid sovereign debt relief and financial stability,Global,Environment; Climate Change,Government and Non-Profit Organisations; Financial Services,
                                                    International Capital Markets Association
                                                ,",https://www.globaldata.com/esg/regulatorysummary/icma-publishes-new-climate-resilient-debt-clauses-to-aid-sovereign-debt-relief-and-financial-stability,ICMA publishes new climate resilient debt clauses to aid sovereign debt relief and financial stability,"Wednesday, 16 November 2022","The International Capital Market Association (ICMA) has published new Climate Resilient Debt Clauses (CRDCs) that can defer a country's debt repayments in the event of a pre-defined, severe climate shock or natural disaster. The UK-convened Private Sector Working Group (PSWG): sub-group on Climate Resilient Debt Clauses produced a standardised term sheet for this, with legal support from Clifford Chance. The PSWG brings together International Financial Institutions, such as the International Monetary Fund (IMF) and World Bank (WB), G7 countries, borrowing countries, and the private sector, which includes major US and European banks and investment firms, legal and financial advisors specialising in sovereign debt, and academic experts."
"9 Nov 2022,IB 22-57: The National Marine Fisheries Service prohibits directed fishing for Pacific Ocean perch by vessels operating in the Bering Sea and Aleutian Islands,North America; United States,Marine Biodiversity; Sustainable Fishery; Environment; Biodiversity,Agriculture & Forestry,
                                                    National Oceanic and Atmospheric Administration
                                                ,",https://www.globaldata.com/esg/regulatorysummary/ib-22-57-the-national-marine-fisheries-service-prohibits-directed-fishing-for-pacific-ocean-perch-by-vessels-operating-in-the-bering-sea-and-aleutian-islands,IB 22-57: The National Marine Fisheries Service prohibits directed fishing for Pacific Ocean perch by vessels operating in the Bering Sea and Aleutian Islands,"Wednesday, 16 November 2022","According to Jonathan M. Kurland, Administrator, Alaska Region, NMFS, directed fishing for Pacific ocean perch in the Central Aleutian district of the Bering Sea and Aleutian Islands management area (BSAI) by vessels participating in the BSAI trawl limited access sector fishery will be prohibited beginning at 12 noon, Alaska local time, November 10, 2022."
"8 Nov 2022,The National Assembly receives Korea's first legislation for the systematic support and promotion of smart farming,South Korea; Asia,Food and Agri Tech; Sustainable Farming; Environment; Natural Resources,Agriculture & Forestry,
                                                    Ministry of Agriculture, Food and Rural Affairs
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-national-assembly-receives-koreas-first-legislation-for-the-systematic-support-and-promotion-of-smart-farming,The National Assembly receives Korea's first legislation for the systematic support and promotion of smart farming,"Tuesday, 15 November 2022","The draught legislation ""Act on Nurturing and Promoting Smart Farming"" was approved by the Cabinet on November 8, 2022. Opinion gathering (February 10-24, 2021), Legislative notice (April 27 – June 7, 2021), Legislation from the Ministry of Government is being reviewed (November 1, 2022) Cabinet endorsement (November 8, 2022)
ㅇ Following Cabinet approval, the legislation is expected to lay the groundwork for an institutional foundation for nurturing and promoting smart farming through comprehensive and systematic support.
ㅇ The spread of smart farming is expected to overcome agricultural challenges such as climate change, ageing rural populations, and so on by increasing productivity and competitiveness in the agriculture industry. "
"8 Nov 2022,Communication update on the application of voluntary sustainable development criteria certification schemes for the purposes of the EU ETS system requirements,Europe; Poland,Renewable Energy; Environment; Biofuels,Equipment & Services; Power Generation; Biopower,
                                                    Ministry of Climate
                                                ,",https://www.globaldata.com/esg/regulatorysummary/communication-update-on-the-application-of-voluntary-sustainable-development-criteria-certification-schemes-for-the-purposes-of-the-eu-ets-system-requirements,Communication update on the application of voluntary sustainable development criteria certification schemes for the purposes of the EU ETS system requirements,"Tuesday, 08 November 2022","In regards to the requirements of the EU ETS system in relation to biomass used for energy purposes by operators of installations covered by the EU ETS system, the Ministry of Climate and Environment confirms and upholds its current position on the applicable European Union regulations on the use of voluntary certification systems of sustainable development criteria."
"5 Nov 2022,Initial details on the 2022 national emissions certificate trading law (NEHG 2022),Europe; Austria,Environment; Circular Economy; Climate Change; Carbon Emissions; Pollution,Sustainable construction; Agriculture & Forestry; Transportation; Infrastructure and Logistics; Construction,
                                                    Austrian Federal Ministry of Finance
                                                ,",https://www.globaldata.com/esg/regulatorysummary/initial-details-on-the-2022-national-emissions-certificate-trading-law-nehg-2022,Initial details on the 2022 national emissions certificate trading law (NEHG 2022),"Monday, 14 November 2022","The 2022 eco-social tax reform law was an important step forward in Austria's efforts to establish cost transparency for CO2e emissions. By inducing an environmental incentive effect and increasing the appeal of using innovative, low-emission technologies, the 2022 national emissions certificates trading law is intended to make a decisive contribution to achieving climate-related goals. CO2e pricing is scheduled to begin on October 1, 2022."
"4 Nov 2022,IB 22-55: Distribution of the Groundfish Reserve in the Management Area for the Bering Sea and Aleutian Islands,North America; United States,Biodiversity; Environment; Sustainable Fishery; Marine Biodiversity,Agriculture & Forestry,
                                                    National Oceanic and Atmospheric Administration
                                                ,",https://www.globaldata.com/esg/regulatorysummary/ib-22-55-distribution-of-the-groundfish-reserve-in-the-management-area-for-the-bering-sea-and-aleutian-islands,IB 22-55: Distribution of the Groundfish Reserve in the Management Area for the Bering Sea and Aleutian Islands,"Friday, 11 November 2022","According to Jonathan M. Kurland, Administrator, Alaska Region, NMFS, amounts from the reserve have been added to the 2022 initial total authorised catch for four species or species groups in the Bering Sea and Aleutian Islands (BSAI) management area. Taking this action complies with 50 CFR 679.20(b) (3)."
"4 Nov 2022,IB 22-56: NMFS Transfers Atka Mackerel to the Amendment 80 Cooperative in the Bering Sea and Aleutian Islands from the Eastern Aleutian Island District and Bering Sea Subarea Incidental Catch Allowance,North America; United States,Marine Biodiversity; Sustainable Fishery; Environment; Biodiversity,Agriculture & Forestry,
                                                    National Oceanic and Atmospheric Administration
                                                ,",https://www.globaldata.com/esg/regulatorysummary/ib-22-56-nmfs-transfers-atka-mackerel-to-the-amendment-80-cooperative-in-the-bering-sea-and-aleutian-islands-from-the-eastern-aleutian-island-district-and-bering-sea-subarea-incidental-catch-allowance,IB 22-56: NMFS Transfers Atka Mackerel to the Amendment 80 Cooperative in the Bering Sea and Aleutian Islands from the Eastern Aleutian Island District and Bering Sea Subarea Incidental Catch Allowance,"Friday, 11 November 2022","According to Jonathan M. Kurland, Administrator, Alaska Region, NMFS, the National Marine Fisheries Service (NMFS) is reallocating the anticipated unused portion of the 2021 Atka mackerel incidental catch allowance (ICA) for the Bering Sea subarea and Eastern Aleutian Islands District (BS/EAI) to the Amendment 80 cooperative allocation in the BS/EAI of the Bering Sea and Aleutian Islands management area (BSAI)."
"3 Nov 2022,The Renewable Heat Act will ensure a complete transition to environmentally friendly heating systems by 2040,Europe; Austria,Carbon Emissions; Renewable Energy; Climate Change; Environment,Power Generation; Fossil Fuels; Energy Infrastructure; Energy Efficiency,
                                                    Federal Ministry for Climate Action Environment Energy Mobility Innovation and Technology
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-renewable-heat-act-will-ensure-a-complete-transition-to-environmentally-friendly-heating-systems-by-2040,The Renewable Heat Act will ensure a complete transition to environmentally friendly heating systems by 2040,"Thursday, 10 November 2022","The federal government passed the Renewable Heat Act (EWG), which is important for climate policy, in the Council of Ministers on Wednesday. This plan calls for the elimination of gas heating by 2040 and oil heating by 2035. The EWG oversees the transition from outdated fossil-fuel heating systems to modern, climate-friendly alternatives. It is a critical climate law that will assist us in rapidly ending our reliance on Russian natural gas. All climate-damaging oil heating systems are to be replaced by 2035, and all heating systems in Austria are to be converted to renewable energies by 2040."
"2 Nov 2022,NOAA Fisheries finalises Blueline Tilefish Fishery Specifications for 2022, 2023, and 2024,North America; United States,Biodiversity; Environment; Sustainable Fishery; Marine Biodiversity,Agriculture & Forestry,
                                                    National Oceanic and Atmospheric Administration
                                                ,",https://www.globaldata.com/esg/regulatorysummary/noaa-fisheries-finalises-blueline-tilefish-fishery-specifications-for-2022-2023-and-2024,"NOAA Fisheries finalises Blueline Tilefish Fishery Specifications for 2022, 2023, and 2024","Wednesday, 09 November 2022","Final 2022, 2023 Projected 2024 blueline tilefish specifications (lb). ABC – North of Cape Hatteras -179,500 ABC – North of NC/VA line -100,520 Recreational Annual Catch Limit -73,380 Commercial Annual Catch Limit - 27,140 Recreational Total Allowable Landings -71,912 Commercial Total Allowable Landings  - 26,869"
"2 Nov 2022,Minister Vizzotti approved the resolution governing the accreditation of the Clinical Psychology specialty,Argentina; South America,,Healthcare,
                                                    Ministry of Health Argentina
                                                ,",https://www.globaldata.com/esg/regulatorysummary/minister-vizzotti-approved-the-resolution-governing-the-accreditation-of-the-clinical-psychology-specialty,Minister Vizzotti approved the resolution governing the accreditation of the Clinical Psychology specialty,"Wednesday, 09 November 2022","Carla Vizzotti, the country's minister of health, signed a ministerial resolution today to govern the certification of the specialty in clinical psychology as part of the XVI Metropolitan Congress of Psychology, which was held from October 31 to November 2 and was organised by the Association of Psychologists of Buenos Aires (APBA)."
"1 Nov 2022,22-54: NMFS forbids vessels taking part in the Bering Sea and Aleutian Islands from conducting directed fishing for Pacific Ocean Perch,North America; United States,Marine Biodiversity; Sustainable Fishery; Environment; Biodiversity,Agriculture & Forestry,
                                                    National Oceanic and Atmospheric Administration
                                                ,",https://www.globaldata.com/esg/regulatorysummary/22-54-nmfs-forbids-vessels-taking-part-in-the-bering-sea-and-aleutian-islands-from-conducting-directed-fishing-for-pacific-ocean-perch,22-54: NMFS forbids vessels taking part in the Bering Sea and Aleutian Islands from conducting directed fishing for Pacific Ocean Perch,"Tuesday, 08 November 2022","According to Jonathan M. Kurland, Administrator, Alaska Region, NMFS, directed fishing for Pacific ocean perch is prohibited by the National Marine Fisheries Service (NMFS) beginning at noon, Alaska local time, November 2, 2022 in the Western Aleutian district of the Bering Sea and Aleutian Islands management area (BSAI). This directive is issued in accordance with 50 CFR 679.20(d)(1) in order to prevent vessels participating in the BSAI trawl restricted access sector fishery from exceeding the total authorised catch of Pacific ocean perch in the Western Aleutian region for 2022. (iii)."
"1 Nov 2022,Northern Ireland households now have access to energy bill assistance,Europe; Ireland; United Kingdom,,Government and Non-Profit Organisations; Energy Efficiency,
                                                    Department for Business, Energy and Industrial Strategy
                                                ,",https://www.globaldata.com/esg/regulatorysummary/northern-ireland-households-now-have-access-to-energy-bill-assistance,Northern Ireland households now have access to energy bill assistance,"Tuesday, 08 November 2022","Northern Ireland's Energy Price Guarantee goes live today - lowering household energy costs
To assist consumers this winter, the UK government scheme will reduce energy bills until the end of March 2023, providing equivalent support to that provided in the UK.
It is in addition to broader support, such as a £400 bill discount and a scheme to protect businesses from rising energy costs."
"28 Oct 2022,The Environment Agency has established an annual close season for salmon and sea trout fishing.,Europe; United Kingdom,Sustainable Fishery; Marine Biodiversity; Biodiversity; Environment,Agriculture & Forestry,
                                                    Environment Agency, Uk
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-environment-agency-has-established-an-annual-close-season-for-salmon-and-sea-trout-fishing,The Environment Agency has established an annual close season for salmon and sea trout fishing.,"Friday, 04 November 2022","The bylaws prohibit salmon and sea trout fishing this autumn, with fishing to resume in early 2023. The salmon close season in the North East runs from November 1 to January 31. The close season for sea trout begins on November 1 and lasts until April 2. The close season for salmon in Yorkshire runs from November 1st to April 5th. The close season for sea trout begins on November 1st and lasts until April 2nd."
"27 Oct 2022,CVM makes a specific modification in resolution pertaining to inspection fee,Brazil; South America,,Investment Banking; Financial Services,
                                                    Securities Exchange Comission (CVM)
                                                ,",https://www.globaldata.com/esg/regulatorysummary/cvm-makes-a-specific-modification-in-resolution-pertaining-to-inspection-fee,CVM makes a specific modification in resolution pertaining to inspection fee,"Thursday, 03 November 2022","The Securities and Exchange Commission (CVM) amends CVM Resolution 171 today, 10/27/2022, in order to support a specific adjustment to CVM Resolution 54, which establishes the Inspection Fee for Bond and Securities Markets. The amendment's goal is to address the situation of securities market players whose initial registration occurs after information sent by other governmental bodies, such the Central Bank, has been verified."
"26 Oct 2022,SEC Adopts Changes to Promote Transparent Fee- and Expense-Related Information in Fund Advertisements and Modernize Fund Shareholder Reports,North America; United States,Governance,Investment Banking; Investments and Asset Management; Financial Services,
                                                    
                                                ,",https://www.globaldata.com/esg/regulatorysummary/sec-adopts-changes-to-promote-transparent-fee--and-expense-related-information-in-fund-advertisements-and-modernize-fund-shareholder-reports,SEC Adopts Changes to Promote Transparent Fee- and Expense-Related Information in Fund Advertisements and Modernize Fund Shareholder Reports,"Wednesday, 02 November 2022","The Securities and Exchange Commission voted today to adopt rule and form amendments that will mandate that exchange-traded funds and mutual funds transmit brief and visually appealing shareholder reports, as well as encourage the transparent and impartial presentation of fees and expenses in investment company advertisements."
"26 Oct 2022,The Securities and Exchange Commission has adopted Compensation Recovery Listing Standards and Disclosure Rules,North America; United States,Governance; Corporate Structure; Executive Compensation,Government and Non-Profit Organisations; Financial Services,
                                                    
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-securities-and-exchange-commission-has-adopted-compensation-recovery-listing-standards-and-disclosure-rules,The Securities and Exchange Commission has adopted Compensation Recovery Listing Standards and Disclosure Rules,"Thursday, 03 November 2022","The Securities and Exchange Commission adopted rules today requiring securities exchanges to adopt listing standards requiring issuers to develop and implement a policy allowing for the recovery of erroneously awarded incentive-based compensation to current or former executive officers. The final rules require a listed issuer to file the policy as an exhibit to its annual report, along with disclosures about its recovery policy and recovery analysis in cases where a recovery is triggered. The Commission proposed compensation recovery rules in 2015, and the comment period on the proposal was reopened in October 2021 and June 2022."
"26 Oct 2022,Pre-charge bail reforms will provide better protection for victims.,Europe; United Kingdom,Health and Safety; Social; Human Rights,Women's Health; Healthcare; Government and Non-Profit Organisations; Therapy Area,
                                                    Home Office (UK)
                                                ,",https://www.globaldata.com/esg/regulatorysummary/pre-charge-bail-reforms-will-provide-better-protection-for-victims,Pre-charge bail reforms will provide better protection for victims.,"Tuesday, 01 November 2022","Kay's Law, a new provision, protects victims of domestic violence and sexual assault.
Victims of crimes such as domestic abuse and sexual assault will be better protected after perpetrators are apprehended under new provisions known as 'Kay's Law,' Safeguarding Minister Mims Davis announced today. The reforms, which go into effect this week, will require police to consider the opinions of victims before releasing someone on bail. Where necessary and proportionate, police will be encouraged to use pre-charge bail instead of releasing suspects under investigation."
"25 Oct 2022,The first natural flood management guide for woodlands in the United Kingdom has been published,Europe; United Kingdom,Environment; Biodiversity; Natural Resources; Sustainable Forestry,Agriculture & Forestry; Government and Non-Profit Organisations,
                                                    Forestry Commission (UK)
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-first-natural-flood-management-guide-for-woodlands-in-the-united-kingdom-has-been-published,The first natural flood management guide for woodlands in the United Kingdom has been published,"Tuesday, 01 November 2022","The new UK Forestry Standard Practice Guide includes information on how woodland creation and management can help reduce flood risk.
The Forestry Commission, Natural Resources Wales, Scottish Forestry, and Northern Ireland Forest Service have published a new UK-wide guide outlining how our forests and woodlands can reduce the damaging effects and financial impact of flooding on vulnerable communities today (Tuesday 25 October)."
